,Min Date,Over 10 Years
DCMT,2024-02-05 00:00:00-05:00,False
BTEK,2020-10-01 00:00:00-04:00,False
ALTL,2020-06-25 00:00:00-04:00,False
XFEB,2024-02-20 00:00:00-05:00,False
PWER,2023-12-01 00:00:00-05:00,False
BETZ,2020-06-04 00:00:00-04:00,False
FAAR,2016-05-23 00:00:00-04:00,False
IDV,2007-06-21 00:00:00-04:00,True
ISCV,2004-07-13 00:00:00-04:00,True
CLNR,2021-10-21 00:00:00-04:00,False
DFAX,2021-09-13 00:00:00-04:00,False
BAPR,2019-04-01 00:00:00-04:00,False
EWZ,2000-07-14 00:00:00-04:00,True
WABF,2023-09-22 00:00:00-04:00,False
CGBL,2023-09-28 00:00:00-04:00,False
KHYB,2018-07-09 00:00:00-04:00,False
UPRO,2009-06-25 00:00:00-04:00,True
CNEQ,2024-04-05 00:00:00-04:00,False
BMED,2020-10-02 00:00:00-04:00,False
CEMB,2012-04-19 00:00:00-04:00,True
PFM,2005-09-15 00:00:00-04:00,True
HARD,2023-03-29 00:00:00-04:00,False
JAVA,2021-10-05 00:00:00-04:00,False
FTXR,2016-09-22 00:00:00-04:00,False
MIOIX,2010-03-31 00:00:00-04:00,True
BSCQ,2016-09-22 00:00:00-04:00,False
RSBT,2023-02-08 00:00:00-05:00,False
VFH,2004-01-30 00:00:00-05:00,True
^GSPC,1927-12-30 00:00:00-05:00,True
LCF,2022-08-18 00:00:00-04:00,False
PRAY,2022-02-08 00:00:00-05:00,False
AGG,2003-09-29 00:00:00-04:00,True
SBSPX,1997-12-31 00:00:00-05:00,True
WTBN,2023-12-20 00:00:00-05:00,False
XAUG,2023-08-21 00:00:00-04:00,False
XHE,2011-01-27 00:00:00-05:00,True
GBLD,2021-04-22 00:00:00-04:00,False
BTRN,2024-03-22 00:00:00-04:00,False
VOX,2004-09-29 00:00:00-04:00,True
BELT,2024-06-18 00:00:00-04:00,False
XMMO,2005-03-03 00:00:00-05:00,True
FBTC,2024-01-11 00:00:00-05:00,False
FPXI,2014-11-11 00:00:00-05:00,False
KCE,2005-11-15 00:00:00-05:00,True
IBTE,2020-03-03 00:00:00-05:00,False
IBDU,2019-09-19 00:00:00-04:00,False
IBOT,2023-04-10 00:00:00-04:00,False
QTUM,2018-09-05 00:00:00-04:00,False
CAMX,2023-02-13 00:00:00-05:00,False
DDLS,2016-04-26 00:00:00-04:00,False
FPRO,2021-02-04 00:00:00-05:00,False
SPVU,2015-10-09 00:00:00-04:00,False
BCIL,2024-03-25 00:00:00-04:00,False
EMTL,2016-04-26 00:00:00-04:00,False
CVRD,2023-08-22 00:00:00-04:00,False
ATMP,2013-03-13 00:00:00-04:00,True
AIFD,2024-05-06 00:00:00-04:00,False
HYZD,2013-12-18 00:00:00-05:00,True
VFQY,2018-02-15 00:00:00-05:00,False
IWB,2000-05-19 00:00:00-04:00,True
FDHT,2021-10-07 00:00:00-04:00,False
SPXS,2008-11-19 00:00:00-05:00,True
IWMY,2023-11-01 00:00:00-04:00,False
AMTR,2020-10-21 00:00:00-04:00,False
FDG,2020-04-02 00:00:00-04:00,False
JHML,2015-09-30 00:00:00-04:00,False
NOCT,2019-10-01 00:00:00-04:00,False
IYH,2000-06-16 00:00:00-04:00,True
MMIT,2017-10-18 00:00:00-04:00,False
UYLD,2022-10-25 00:00:00-04:00,False
PJFM,2023-12-19 00:00:00-05:00,False
FTLS,2014-09-09 00:00:00-04:00,False
USHY,2017-10-26 00:00:00-04:00,False
HKND,2021-02-24 00:00:00-05:00,False
VSGX,2018-09-20 00:00:00-04:00,False
WFH,2020-06-25 00:00:00-04:00,False
LAPR,2024-04-01 00:00:00-04:00,False
UST,2010-02-02 00:00:00-05:00,True
GNMA,2012-02-21 00:00:00-05:00,True
JEPI,2020-05-21 00:00:00-04:00,False
MINT,2009-11-17 00:00:00-05:00,True
FMDE,2023-11-20 00:00:00-05:00,False
VWID,2017-10-12 00:00:00-04:00,False
FLCO,2016-10-05 00:00:00-04:00,False
AJAN,2024-01-02 00:00:00-05:00,False
DIVI,2016-06-03 00:00:00-04:00,False
MBS,2024-02-21 00:00:00-05:00,False
MNBD,2022-05-20 00:00:00-04:00,False
BBSC,2020-12-02 00:00:00-05:00,False
FDTX,2023-06-12 00:00:00-04:00,False
GPIQ,2023-10-27 00:00:00-04:00,False
ICOP,2023-06-26 00:00:00-04:00,False
PSR,2008-11-21 00:00:00-05:00,True
VETZ,2023-08-02 00:00:00-04:00,False
BNDI,2022-08-30 00:00:00-04:00,False
MSTQ,2022-03-16 00:00:00-04:00,False
IBID,2024-06-04 00:00:00-04:00,False
IQM,2020-02-27 00:00:00-05:00,False
LBO,2023-11-30 00:00:00-05:00,False
RODE,2017-05-11 00:00:00-04:00,False
SMCO,2023-11-29 00:00:00-05:00,False
TBFC,2024-01-16 00:00:00-05:00,False
RORO,2020-11-19 00:00:00-05:00,False
POCT,2018-10-01 00:00:00-04:00,False
HELO,2023-09-29 00:00:00-04:00,False
BSV,2007-04-10 00:00:00-04:00,True
PWS,2017-12-12 00:00:00-05:00,False
UTHY,2023-03-28 00:00:00-04:00,False
BLLD,2022-09-22 00:00:00-04:00,False
AAPR,2024-04-01 00:00:00-04:00,False
GTO,2016-02-12 00:00:00-05:00,False
PYLD,2023-06-22 00:00:00-04:00,False
TOTL,2015-02-24 00:00:00-05:00,False
ZROZ,2009-11-04 00:00:00-05:00,True
BSCX,2023-09-21 00:00:00-04:00,False
VLUE,2013-04-18 00:00:00-04:00,True
FAB,2007-05-11 00:00:00-04:00,True
BGIG,2023-09-15 00:00:00-04:00,False
SILJ,2012-11-29 00:00:00-05:00,True
SNAV,2023-01-11 00:00:00-05:00,False
ROOF,2011-06-14 00:00:00-04:00,True
DFRA,2021-12-15 00:00:00-05:00,False
TUR,2008-03-28 00:00:00-04:00,True
FNDB,2013-08-15 00:00:00-04:00,True
JIG,2020-06-01 00:00:00-04:00,False
UAUG,2019-08-06 00:00:00-04:00,False
ROM,2007-02-01 00:00:00-05:00,True
XVOL,2021-04-22 00:00:00-04:00,False
DBMF,2019-05-08 00:00:00-04:00,False
DSMC,2022-10-06 00:00:00-04:00,False
UDIV,2016-06-03 00:00:00-04:00,False
ACES,2018-06-29 00:00:00-04:00,False
ARKX,2021-03-30 00:00:00-04:00,False
AWAY,2020-02-13 00:00:00-05:00,False
CXSE,2012-09-20 00:00:00-04:00,True
NYF,2007-10-11 00:00:00-04:00,True
XBAP,2021-04-01 00:00:00-04:00,False
AFTY,2015-03-12 00:00:00-04:00,False
SIO,2022-08-18 00:00:00-04:00,False
NEWZ,2024-04-12 00:00:00-04:00,False
CSA,2015-07-08 00:00:00-04:00,False
PGRO,2021-05-26 00:00:00-04:00,False
EZBC,2024-01-11 00:00:00-05:00,False
HYXU,2012-04-03 00:00:00-04:00,True
QUS,2015-04-16 00:00:00-04:00,False
PSTR,2024-04-30 00:00:00-04:00,False
ARP,2022-12-22 00:00:00-05:00,False
FICS,2020-12-17 00:00:00-05:00,False
GERM,2020-06-18 00:00:00-04:00,False
PINK,2021-10-08 00:00:00-04:00,False
DIHP,2022-03-24 00:00:00-04:00,False
ACWX,2008-04-01 00:00:00-04:00,True
UGE,2007-02-01 00:00:00-05:00,True
BNDX,2013-06-04 00:00:00-04:00,True
FLOW,2023-07-19 00:00:00-04:00,False
METU,2024-06-06 00:00:00-04:00,False
RVNU,2013-06-04 00:00:00-04:00,True
SYFI,2024-06-10 00:00:00-04:00,False
PLDR,2021-05-26 00:00:00-04:00,False
EVIM,2023-10-19 00:00:00-04:00,False
IAUF,2018-06-08 00:00:00-04:00,False
QARP,2018-04-05 00:00:00-04:00,False
SIXL,2020-05-11 00:00:00-04:00,False
TQQQ,2010-02-11 00:00:00-05:00,True
